Title,Artist,Year,ImageURL,Styles,Genres,Media,Dimensions,Description,PaintingURL,image_urls,images
By the Loing River,Gustave Loiseau,,https://uploads5.wikiart.org/images/gustave-loiseau/by-the-loing-river.jpg!Large.jpg,Post-Impressionism,landscape,oil; canvas,,,https://www.wikiart.org/en/gustave-loiseau/by-the-loing-river,https://uploads5.wikiart.org/images/gustave-loiseau/by-the-loing-river.jpg!Large.jpg,"[{'url': 'https://uploads5.wikiart.org/images/gustave-loiseau/by-the-loing-river.jpg!Large.jpg', 'path': 'full/fa6c80ad7e60fedfd93440a23a2746ac8d19fc2c.jpg', 'checksum': '72d553470b949b8cc97cdf64ebca90b6', 'status': 'downloaded'}]"
Paris   Wagram Avenue,Gustave Loiseau,1925,https://uploads2.wikiart.org/images/gustave-loiseau/paris-wagram-avenue-1925.jpg!Large.jpg,Post-Impressionism,cityscape,oil; canvas,,,https://www.wikiart.org/en/gustave-loiseau/paris-wagram-avenue-1925,https://uploads2.wikiart.org/images/gustave-loiseau/paris-wagram-avenue-1925.jpg!Large.jpg,"[{'url': 'https://uploads2.wikiart.org/images/gustave-loiseau/paris-wagram-avenue-1925.jpg!Large.jpg', 'path': 'full/60dd6be681880207276be0e52454e4057349b126.jpg', 'checksum': '393c161b8a3af6f2d5186100eff447f3', 'status': 'downloaded'}]"
Cliffs by the Sea,Gustave Loiseau,,https://uploads4.wikiart.org/images/gustave-loiseau/cliffs-by-the-sea.jpg!Large.jpg,Post-Impressionism,landscape,oil; canvas,,,https://www.wikiart.org/en/gustave-loiseau/cliffs-by-the-sea,https://uploads4.wikiart.org/images/gustave-loiseau/cliffs-by-the-sea.jpg!Large.jpg,"[{'url': 'https://uploads4.wikiart.org/images/gustave-loiseau/cliffs-by-the-sea.jpg!Large.jpg', 'path': 'full/db68a67151835b02595703318466e451e3b5dd19.jpg', 'checksum': 'b3ddb63e82f8ec2dc1c1bd276bd7ce3f', 'status': 'downloaded'}]"
Port Corneille at Rouen,Gustave Loiseau,1925,https://uploads6.wikiart.org/images/gustave-loiseau/port-corneille-at-rouen-1925.jpg!Large.jpg,Post-Impressionism,cityscape,oil; canvas,,,https://www.wikiart.org/en/gustave-loiseau/port-corneille-at-rouen-1925,https://uploads6.wikiart.org/images/gustave-loiseau/port-corneille-at-rouen-1925.jpg!Large.jpg,"[{'url': 'https://uploads6.wikiart.org/images/gustave-loiseau/port-corneille-at-rouen-1925.jpg!Large.jpg', 'path': 'full/4749c16b4b31a570a00b671a7dce7ae4786caf96.jpg', 'checksum': 'ba2878fa2fe628a95f3a2170b87bcf8e', 'status': 'downloaded'}]"
Sailboats near the Cliffs at Yport,Gustave Loiseau,1924,https://uploads8.wikiart.org/images/gustave-loiseau/sailboats-near-the-cliffs-at-yport-1924.jpg!Large.jpg,Post-Impressionism,landscape,oil; canvas,,,https://www.wikiart.org/en/gustave-loiseau/sailboats-near-the-cliffs-at-yport-1924,https://uploads8.wikiart.org/images/gustave-loiseau/sailboats-near-the-cliffs-at-yport-1924.jpg!Large.jpg,"[{'url': 'https://uploads8.wikiart.org/images/gustave-loiseau/sailboats-near-the-cliffs-at-yport-1924.jpg!Large.jpg', 'path': 'full/c24f61715991e02e173284635ebf204d1d201a9d.jpg', 'checksum': '54280d6ed28302f61697bb18526f2169', 'status': 'downloaded'}]"
Grand Quay at Fecamp,Gustave Loiseau,1925,https://uploads3.wikiart.org/images/gustave-loiseau/grand-quay-at-fecamp-1925.jpg!Large.jpg,Post-Impressionism,cityscape,oil; canvas,,,https://www.wikiart.org/en/gustave-loiseau/grand-quay-at-fecamp-1925,https://uploads3.wikiart.org/images/gustave-loiseau/grand-quay-at-fecamp-1925.jpg!Large.jpg,"[{'url': 'https://uploads3.wikiart.org/images/gustave-loiseau/grand-quay-at-fecamp-1925.jpg!Large.jpg', 'path': 'full/fd58756b30fbb23b34b53575a260ad10e2781fdc.jpg', 'checksum': '06b5442d8f32b3f85c6c435953189024', 'status': 'downloaded'}]"
House of the Sisters in Pontoise,Gustave Loiseau,1924,https://uploads6.wikiart.org/images/gustave-loiseau/house-of-the-sisters-in-pontoise-1924.jpg!Large.jpg,Post-Impressionism,cityscape,oil; canvas,,,https://www.wikiart.org/en/gustave-loiseau/house-of-the-sisters-in-pontoise-1924,https://uploads6.wikiart.org/images/gustave-loiseau/house-of-the-sisters-in-pontoise-1924.jpg!Large.jpg,"[{'url': 'https://uploads6.wikiart.org/images/gustave-loiseau/house-of-the-sisters-in-pontoise-1924.jpg!Large.jpg', 'path': 'full/2549ea8da32addc69eaba04918afb95256fafc42.jpg', 'checksum': '1a135e5bf2202e022c1c4f6bfacaa1f1', 'status': 'downloaded'}]"
Cligancourt Street in Paris,Gustave Loiseau,1924,https://uploads1.wikiart.org/images/gustave-loiseau/cligancourt-street-in-paris-1924.jpg!Large.jpg,Post-Impressionism,cityscape,oil; canvas,,,https://www.wikiart.org/en/gustave-loiseau/cligancourt-street-in-paris-1924,https://uploads1.wikiart.org/images/gustave-loiseau/cligancourt-street-in-paris-1924.jpg!Large.jpg,"[{'url': 'https://uploads1.wikiart.org/images/gustave-loiseau/cligancourt-street-in-paris-1924.jpg!Large.jpg', 'path': 'full/ff3da2427dacc5df59c50e1f7c02088b345baa7c.jpg', 'checksum': '5424d2e523a99b0154632f5837ece86c', 'status': 'downloaded'}]"
By the Eure River in Autumn,Gustave Loiseau,,https://uploads5.wikiart.org/images/gustave-loiseau/by-the-eure-river-in-autumn.jpg!Large.jpg,Post-Impressionism,landscape,,,,https://www.wikiart.org/en/gustave-loiseau/by-the-eure-river-in-autumn,https://uploads5.wikiart.org/images/gustave-loiseau/by-the-eure-river-in-autumn.jpg!Large.jpg,"[{'url': 'https://uploads5.wikiart.org/images/gustave-loiseau/by-the-eure-river-in-autumn.jpg!Large.jpg', 'path': 'full/43480ae901f78f3bf6d5d90d5c092ec101343354.jpg', 'checksum': 'bfc392cb6db11aca78f854bb5aad3d16', 'status': 'downloaded'}]"
"Pont Aven, Grey Weather",Gustave Loiseau,1923,https://uploads5.wikiart.org/images/gustave-loiseau/pont-aven-grey-weather-1923.jpg!Large.jpg,Post-Impressionism,cityscape,oil; canvas,,,https://www.wikiart.org/en/gustave-loiseau/pont-aven-grey-weather-1923,https://uploads5.wikiart.org/images/gustave-loiseau/pont-aven-grey-weather-1923.jpg!Large.jpg,"[{'url': 'https://uploads5.wikiart.org/images/gustave-loiseau/pont-aven-grey-weather-1923.jpg!Large.jpg', 'path': 'full/44daa3d183f418bad54680dfeca7695c8b90ce0a.jpg', 'checksum': '3331163a8344461d0c1c6f50e5d4e732', 'status': 'downloaded'}]"
Pont Neuf in the Snow,Gustave Loiseau,1922,https://uploads4.wikiart.org/images/gustave-loiseau/pont-neuf-in-the-snow-1922.jpg!Large.jpg,Post-Impressionism,cityscape,,,,https://www.wikiart.org/en/gustave-loiseau/pont-neuf-in-the-snow-1922,https://uploads4.wikiart.org/images/gustave-loiseau/pont-neuf-in-the-snow-1922.jpg!Large.jpg,"[{'url': 'https://uploads4.wikiart.org/images/gustave-loiseau/pont-neuf-in-the-snow-1922.jpg!Large.jpg', 'path': 'full/87d6a56dfa9d08c627091d2cbb58e203e93c6bb9.jpg', 'checksum': 'eac512ccece0f07beb105cc3bed057bc', 'status': 'downloaded'}]"
Vase of Flowers,Gustave Loiseau,1921,https://uploads7.wikiart.org/images/gustave-loiseau/vase-of-flowers-1921.jpg!Large.jpg,Post-Impressionism,still life,,,,https://www.wikiart.org/en/gustave-loiseau/vase-of-flowers-1921,https://uploads7.wikiart.org/images/gustave-loiseau/vase-of-flowers-1921.jpg!Large.jpg,"[{'url': 'https://uploads7.wikiart.org/images/gustave-loiseau/vase-of-flowers-1921.jpg!Large.jpg', 'path': 'full/31c1722770b06bfb314cec099d27637ff0098e2d.jpg', 'checksum': 'b7ea6cc8535e5a0fed6cd22e29b2ea23', 'status': 'downloaded'}]"
Port of Fecamp,Gustave Loiseau,1924,https://uploads6.wikiart.org/images/gustave-loiseau/port-of-fecamp-1924.jpg!Large.jpg,Post-Impressionism,cityscape,oil; canvas,,,https://www.wikiart.org/en/gustave-loiseau/port-of-fecamp-1924,https://uploads6.wikiart.org/images/gustave-loiseau/port-of-fecamp-1924.jpg!Large.jpg,"[{'url': 'https://uploads6.wikiart.org/images/gustave-loiseau/port-of-fecamp-1924.jpg!Large.jpg', 'path': 'full/657a8b26977652a6e59c9bd34d2ff4b3be895b74.jpg', 'checksum': '993947b5c50d9c4b1136c350f482d730', 'status': 'downloaded'}]"
Beach at Fecamp,Gustave Loiseau,,https://uploads2.wikiart.org/images/gustave-loiseau/beach-at-fecamp.jpg!Large.jpg,Post-Impressionism,landscape,oil; canvas,,,https://www.wikiart.org/en/gustave-loiseau/beach-at-fecamp,https://uploads2.wikiart.org/images/gustave-loiseau/beach-at-fecamp.jpg!Large.jpg,"[{'url': 'https://uploads2.wikiart.org/images/gustave-loiseau/beach-at-fecamp.jpg!Large.jpg', 'path': 'full/e66b51f8d7c40c1c1e52d1433bde5f89f24e4aa1.jpg', 'checksum': '28520274824f26012ad1085542b424c0', 'status': 'downloaded'}]"
